track_id,track_name,artist_names,genres,valence,danceability,energy,mood,album_name,release_date,album_cover_640x640
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,['The Beatles'],"british invasion, classic rock, merseybeat, psychedelic rock, rock",0.187,0.5329999999999999,0.376,Sad,Abbey Road (Remastered),1969-09-26,https://i.scdn.co/image/ab67616d00004851dc30583ba717007b00cceb25
2Esf7NTKQNCPE4G17QvVCs,Toes,['Zac Brown Band'],"country road, modern country rock, contemporary country, country",0.821,0.8,0.759,Upbeat,The Foundation,2008-11-17,https://i.scdn.co/image/ab67616d0000b27335841dbae637a50adcaa5c0f
2EuHw21uxVU8I9kEUD3O9J,Good Time Charlie's Got the Blues,"[""Danny O'Keefe""]",Unknown,0.504,0.5529999999999999,0.277,Neutral,,,
2EugeoODapgclc2jIqMr5C,Take Me Down,['Slowburner'],Unknown,0.7809999999999999,0.511,0.807,Upbeat,Tomorrow,1927,https://i.scdn.co/image/ab67616d0000485194345f55c92f7d44d960f592
2EvzDcdCX2OAT6oPuRM4MS,Betheigeuze Links Ab,['Springtoifel'],"deutschrock, german oi",0.594,0.329,0.908,Neutral,"You Want SPRINGTOIFEL Well, Here They Are!",1937,https://i.scdn.co/image/ab67616d00004851360148345703b085c5ea1823
2ExpCKBxiHbgzepERl1t4D,Cuando Pase el Temblor,['Soda Stereo'],"ska argentino, latin rock, rock en espanol, argentine rock, latin alternative, post-punk argentina",0.758,0.643,0.539,Upbeat,Originales - 20 Exitos,1983,https://i.scdn.co/image/ab67616d0000b273017ed8a01b6648a9d1fe2f58
2EzaNI2kE2AoBfJ8mRZLSJ,Animal - Remastered,['Pearl Jam'],"permanent wave, alternative metal, alternative rock, hard rock, classic rock, grunge, rock",0.473,0.493,0.955,Neutral,Vs.,1993-10-19,https://i.scdn.co/image/ab67616d0000b273777344aba9d5b5785b4593a5
2Ezd3Fna2jOyRG0naKTos7,La Media Calendria: Sones of Michoacan,['Trio Aguilillas'],ethnomusicology,0.858,0.71,0.5379999999999999,Upbeat,Sones of Mexico,1950-01-01,https://i.scdn.co/image/ab67616d000048513f555a7a532e006693e767ef
2Ezmm08Oy4772SkEoC18Kt,Them Belly Full (But We Hungry),['Bob Marley & The Wailers'],"roots reggae, reggae",0.644,0.759,0.475,Upbeat,Natty Dread,1974,https://i.scdn.co/image/ab67616d00004851b5a0ee94e2741374ce5c71a2
2F0ZI3RuWlZsVDLRelNNDR,Compadrón - Remasterizado,"['Francisco Canaro', 'Luis Scalon']","orquesta tipica, tango, vintage tango",0.851,0.7929999999999999,0.116,Upbeat,"Colección Completa, Vol. 15 (Remasterizado)",1927-09-04,https://i.scdn.co/image/ab67616d00004851521e3ec45aded13e2d3f8896
2F0k6uThI5RWgN84pFwKUL,Claudio a mezza voce,['Claudio Villa'],classic italian pop,0.835,0.585,0.0227,Upbeat,L'Orchestra Italiana - Claudio Villa Vol. 2,1942-11-13,https://i.scdn.co/image/ab67616d00004851c88eeed22989edc68abf9996
2F32YX18gVFmAOD8FVmkHZ,Breakfast At Tiffany's,['Henry Mancini'],"classic soundtrack, easy listening, adult standards",0.197,0.345,0.176,Sad,,,
2F3tPxz9m83cQ7SsaJXiYG,The Tailor And The Mouse,['Burl Ives'],"american folk revival, adult standards",0.846,0.8590000000000001,0.148,Upbeat,Burl Ives Sings Little White Duck And Other Children'S Favorites,1949,https://i.scdn.co/image/ab67616d0000485145f60ad3b9d0dc474c021334
2F4FNcz68howQWD4zaGJSi,The Lion Sleeps Tonight (Wimoweh),['The Tokens'],"sunshine pop, doo-wop",0.804,0.321,0.474,Upbeat,Wimoweh!!! - The Best Of The Tokens,1994-08-29,https://i.scdn.co/image/ab67616d0000b2739df742dcaf9b79edad9009d0
